id,type,title,category,priceLabel,shortDescription,sourceUrl
vk-p-1,product,Браслет из лунного камня «Очарование»,Магия Жизни Bracelets,950 ₽,Лунный камень считается камнем Луны и ассоциируется с её циклами.,https://vk.com/market-226854094?w=product-226854094_9737916
vk-s-2,service,Диагностика негатива,Магия Жизни Self-knowledge and stress management,"3,500 ₽",Когда в Жизни начинает все рушится и нет понимания происходящей ситуации.,https://vk.com/market-226854094?w=product-226854094_9780487
vk-p-3,product,Алтарное покрывало,Магия Жизни Souvenirs and gifts,550 ₽,Идеально подходит для небольших поверхностей.,https://vk.com/market-226854094?w=product-226854094_11728010
vk-p-4,product,"Алтарная подставка ""Архангел Михаил""",Магия Жизни Souvenirs and gifts,"1,900 ₽","Алтарная подставка «Архангел Михаил»Создай своё место Силы для ритуальной работыАрхангел Михаил 🛡💪Его имя означает ""Кто подобен Богу"" или «Кто как Бог».",https://vk.com/market-226854094?w=product-226854094_12690306
vk-p-5,product,Алтарная подставка «Чакровая гармония»,Магия Жизни Souvenirs and gifts,"1,900 ₽",Алтарная подставка «Чакровая гармония»Создай своё место Силы для ритуальной работыДиаметр: 20 смЦена: 1900 рублейМатериал: алюминийДоставка: в любую точку МираПо всем вопросам пиши,https://vk.com/market-226854094?w=product-226854094_12564608
vk-s-6,service,"Трансформационная игра ""Денежный магнит""",Магия Жизни Money and success,"9,555 ₽",Глубокая проработка и анализ денежного ресурса.,https://vk.com/market-226854094?w=product-226854094_9745558
vk-p-7,product,"Алтарная подставка ""Архангел Гавриил""",Магия Жизни Souvenirs and gifts,"1,900 ₽","Алтарная подставка «Архангел Гавриэль»Создай своё место Силы для ритуальной работыАрхангел Гавриил (Гавриэль) 📜💬Гавриил – это Архангел, связанный с новыми начинаниями и пророчества",https://vk.com/market-226854094?w=product-226854094_12690357
vk-p-8,product,Коробок для спичек,Магия Жизни Action figures and fan merch,750 ₽,Металлическая коробочка для хранения спичек.,https://vk.com/market-226854094?w=product-226854094_11993088
vk-p-9,product,"Алтарная подставка ""Архангел Рафаил""",Магия Жизни Souvenirs and gifts,"1,900 ₽","Алтарная подставка «Архангел Рафаил»Создай своё место Силы для ритуальной работыАрхангел Рафаил 💚🩹Рафаил – великий целитель, его имя значит ""Бог исцеляет"".",https://vk.com/market-226854094?w=product-226854094_12690325
vk-p-10,product,Алтарная подставка «Анубис»,Магия Жизни Souvenirs and gifts,"1,900 ₽",Алтарная подставка «Анубис»Создай своё место Силы для ритуальной работыДиаметр: 20 смЦена: 1900 рублейМатериал: деревоДоставка: в любую точку МираПо всем вопросам пишите в личку ил,https://vk.com/market-226854094?w=product-226854094_12564603
vk-p-11,product,"Алтарная подставка ""Архангел Гавриил""",Магия Жизни Souvenirs and gifts,"1,900 ₽","Алтарная подставка «Архангел Гавриэль»Создай своё место Силы для ритуальной работыАрхангел Гавриил (Гавриэль) 📜💬Гавриил – это Архангел, связанный с новыми начинаниями и пророчества",https://vk.com/market-226854094?w=product-226854094_12690345
vk-p-12,product,Коробок для спичек,Магия Жизни Action figures and fan merch,750 ₽,Металлическая коробочка для хранения спичек.,https://vk.com/market-226854094?w=product-226854094_11993150
vk-p-13,product,"Алтарная подставка ""Архангел Гавриил""",Магия Жизни Souvenirs and gifts,"1,900 ₽","Алтарная подставка «Архангел Гавриэль»Создай своё место Силы для ритуальной работыАрхангел Гавриил (Гавриэль) 📜💬Гавриил – это Архангел, связанный с новыми начинаниями и пророчества",https://vk.com/market-226854094?w=product-226854094_12690342
vk-p-14,product,"Алтарная подставка «Анубис""",Магия Жизни Souvenirs and gifts,"1,900 ₽",Алтарная подставка «Анубис»Создай своё место Силы для ритуальной работыДиаметр: 20 смЦена: 1900 рублейМатериал: алюминийДоставка: в любую точку МираПо всем вопросам пишите в личку ,https://vk.com/market-226854094?w=product-226854094_12564600
vk-p-15,product,Коробок для спичек,Магия Жизни Action figures and fan merch,750 ₽,Металлическая коробочка для хранения спичек.,https://vk.com/market-226854094?w=product-226854094_11993302
vk-p-16,product,Алтарная подставка «Анубис»,Магия Жизни Souvenirs and gifts,"1,900 ₽",Алтарная подставка «Анубис»Создай своё место Силы для ритуальной работыДиаметр: 20 смЦена: 1900 рублейМатериал: алюминийДоставка: в любую точку МираПо всем вопросам пишите в личку ,https://vk.com/market-226854094?w=product-226854094_12564598
vk-p-17,product,Коробок для спичек,Магия Жизни Action figures and fan merch,750 ₽,Металлическая коробочка для хранения спичек.,https://vk.com/market-226854094?w=product-226854094_11993344
vk-p-18,product,Алтарная подставка «Анубис»,Магия Жизни Souvenirs and gifts,"1,900 ₽",Алтарная подставка «Анубис»Создай своё место Силы для ритуальной работыДиаметр: 20 смЦена: 1900 рублейМатериал: алюминийДоставка: в любую точку МираПо всем вопросам пишите в личку ,https://vk.com/market-226854094?w=product-226854094_12564597
vk-p-19,product,Коробок для спичек,Магия Жизни Action figures and fan merch,750 ₽,Металлическая коробочка для хранения спичек.,https://vk.com/market-226854094?w=product-226854094_11993371
vk-p-20,product,Алтарная подставка «Анубис»,Магия Жизни Souvenirs and gifts,"1,900 ₽",Алтарная подставка «Анубис»Создай своё место Силы для ритуальной работыДиаметр: 20 смЦена: 1900 рублейМатериал: алюминийДоставка: в любую точку МираПо всем вопросам пишите в личку ,https://vk.com/market-226854094?w=product-226854094_12564596
vk-p-21,product,Подставка для Алтаря. Инь&Янь,Магия Жизни Souvenirs and gifts,390 ₽,Деревянная подставка для Алтаря.,https://vk.com/market-226854094?w=product-226854094_11993558
vk-p-22,product,Алтарная подставка «Процветание»,Магия Жизни Souvenirs and gifts,"1,900 ₽",Алтарная подставка «Процветание»Создай своё место Силы для ритуальной работыДиаметр: 20 смЦена: 1900 рублейМатериал: деревоДоставка: в любую точку МираПо всем вопросам пишите в лич,https://vk.com/market-226854094?w=product-226854094_12564199
vk-p-23,product,Табличка «Дом Ведьмы»,Магия Жизни Souvenirs and gifts,"1,900 ₽",Металлическая табличка для интерьера.,https://vk.com/market-226854094?w=product-226854094_12000755
vk-p-24,product,Часы «Сила Волка»,Магия Жизни Watches,"2,500 ₽",Сила и защита Волка всегда рядом с вами,https://vk.com/market-226854094?w=product-226854094_12001991
vk-p-25,product,"Алтарная подставка ""Денежная Лошадь""",Магия Жизни Souvenirs and gifts,"1,900 ₽",Алтарная подставка «Денежная Лошадь»Создай своё место Силы для ритуальной работыДиаметр: 20 смЦена: 1900 рублейМатериал: алюминийДоставка: в любую точку МираПо всем вопросам пишите,https://vk.com/market-226854094?w=product-226854094_12564191
vk-p-26,product,Бокал «Дракон»,Магия Жизни Souvenirs and gifts,"2,900 ₽",Бокал для подношений,https://vk.com/market-226854094?w=product-226854094_12017663
vk-p-27,product,"Алтарная подставка ""Мать Земля""",Магия Жизни Souvenirs and gifts,"1,900 ₽",Алтарная подставка «Мать Земля»Создай своё место Силы для ритуальной работыДиаметр: 20 смЦена: 1900 рублейМатериал: алюминий Доставка: в любую точку МираПо всем вопросам пишите в л,https://vk.com/market-226854094?w=product-226854094_12564164
vk-p-28,product,"Алтарное покрывало ""Родовое Древо""",Магия Жизни Tablecloths,550 ₽,Алтарное покрывало «Родовое Древо»Создай своё место Силы для ритуальной работыРазмер: 31*45 смЦена: 550 рублейМатериал: лёнДоставка: в любую точку МираПо всем вопросам пишите в лич,https://vk.com/market-226854094?w=product-226854094_12551040
vk-p-29,product,Бокал «Сердце»,Магия Жизни Souvenirs and gifts,"1,300 ₽",Бокал для подношений,https://vk.com/market-226854094?w=product-226854094_12017791
vk-p-30,product,"Алтарное покрывало ""Всевидящее Око""",Магия Жизни Tablecloths,"1,100 ₽",Алтарное покрывало «Всевидящее Око»Создай своё место Силы для ритуальной работыРазмер: 75*75 смЦена: 1100 рублейМатериал: полиэстрДоставка: в любую точку МираПо всем вопросам пишит,https://vk.com/market-226854094?w=product-226854094_12550978
vk-p-31,product,"Алтарное покрывало ""Женская Сила""",Магия Жизни Tablecloths,"1,100 ₽",Алтарное покрывало «Женская Сила»Создай своё место Силы для ритуальной работыРазмер: 75*75 смЦена: 1100 рублейМатериал: полиэстрДоставка: в любую точку МираПо всем вопросам пишите ,https://vk.com/market-226854094?w=product-226854094_12550933
vk-p-32,product,"Алтарное покрывало ""Мать Земля""",Магия Жизни Tablecloths,"1,100 ₽",Алтарное покрывало «Мать Земля»Создай своё место Силы для ритуальной работыРазмер: 75*75 смЦена: 1100 рублейМатериал: полиэстрДоставка: в любую точку МираПо всем вопросам пишите в ,https://vk.com/market-226854094?w=product-226854094_12550624
vk-p-33,product,"Алтарное покрывало ""Бесконечность""",Магия Жизни Tablecloths,"1,100 ₽",Алтарное покрывало «Бесконечность»Создай своё место Силы для ритуальной работыРазмер: 75*75 смЦена: 1100 рублейМатериал: полиэстрДоставка: в любую точку МираПо всем вопросам пишите,https://vk.com/market-226854094?w=product-226854094_12550596
vk-p-34,product,Вольт,Магия Жизни Action figures and fan merch,"1,900 ₽",Вольт.,https://vk.com/market-226854094?w=product-226854094_12017825
vk-p-35,product,Алтарное покрывало «Пентаграмма»,Магия Жизни Souvenirs and gifts,"1,100 ₽",Алтарное покрывало.,https://vk.com/market-226854094?w=product-226854094_12017989
vk-p-36,product,Подставка для Алтаря «Чакровая»,Магия Жизни Action figures and fan merch,390 ₽,Алтарная подставка для работы с чакрами.,https://vk.com/market-226854094?w=product-226854094_12018228
vk-p-37,product,Алтарная подставка «Чёрный Ворон»,Магия Жизни Action figures and fan merch,390 ₽,Подставка для Алтаря «Черный Ворон» Материал: дерево Диаметр: 10 см,https://vk.com/market-226854094?w=product-226854094_12018376
vk-p-38,product,Алтарная подставка «Чёрный Ворон»,Магия Жизни Action figures and fan merch,390 ₽,Подставка для Алтаря «Чёрный Ворон» Материал: дерево Диаметр: 10 см,https://vk.com/market-226854094?w=product-226854094_12018398
vk-p-39,product,"Алтарное покрывало ""Сила Ведьмы""",Магия Жизни Tablecloths,"1,100 ₽",Алтарное покрывало «Сила Ведьмы»Создай своё место Силы для ритуальной работыРазмер: 75*75 смЦена: 1100 рублейМатериал: полиэстрДоставка: в любую точку МираПо всем вопросам пишите в,https://vk.com/market-226854094?w=product-226854094_12550452
vk-p-40,product,"Алтарное покрывало ""Пентаграмма""",Магия Жизни Tablecloths,"1,100 ₽",Алтарное покрывало «Пентаграмма»Создай своё место Силы для ритуальной работыРазмер: 75*75 смЦена: 1100 рублейМатериал: полиэстрДоставка: в любую точку МираПо всем вопросам пишите в,https://vk.com/market-226854094?w=product-226854094_12550425
vk-p-41,product,Подставка для Алтаря «Бастет»,Магия Жизни Action figures and fan merch,390 ₽,Алтарная подставка «Бастет» Материал: дерево Диаметр: 10 см,https://vk.com/market-226854094?w=product-226854094_12018576
vk-p-42,product,"Алтарное покрывало ""Пентаграмма""",Магия Жизни Tablecloths,"1,100 ₽",Алтарное покрывало «Пентаграмма»Создай своё место Силы для ритуальной работыРазмер: 75*75 смЦена: 1100 рублейМатериал: полиэстрДоставка: в любую точку МираПо всем вопросам пишите в,https://vk.com/market-226854094?w=product-226854094_12550405
vk-p-43,product,Подставка для Алтаря «Бастет»,Магия Жизни Action figures and fan merch,390 ₽,Алтарная подставка «Бастет» Материал: дерево Диаметр: 10 см,https://vk.com/market-226854094?w=product-226854094_12018580
vk-p-44,product,"Сумка-шоппер ""Древо""",Магия Жизни Purses,"1,600 ₽","Сумка-шоппер ""Древо""Размер: 40*40 смЦена: 1600 рублейМатериал: лёнДоставка: в любую точку МираПо всем вопросам пишите в личку или в по телефону",https://vk.com/market-226854094?w=product-226854094_12535200
vk-p-45,product,Алтарная подставка «Древо»,Магия Жизни Action figures and fan merch,690 ₽,Подставка для Алтаря «Древо» Материал: дерево Диаметр: 15 см,https://vk.com/market-226854094?w=product-226854094_12019030
vk-p-46,product,"Сумка-шоппер ""Ведьма""",Магия Жизни Purses,"1,600 ₽","Сумка-шоппер ""Ведьма""Размер: 35*40 смЦена: 1600 рублейМатериал: лёнДоставка: в любую точку МираПо всем вопросам пишите в личку или в по телефону",https://vk.com/market-226854094?w=product-226854094_12535118
vk-p-47,product,Шпилька для волос «Меч»,Магия Жизни Hair accessories,"1,600 ₽",Шпилька для волос «Меч»Прекрасно подходит для защитыМатериал: сплав,https://vk.com/market-226854094?w=product-226854094_12019531
vk-p-48,product,Алтарное покрывало,Магия Жизни Tablecloths,850 ₽,Алтарное покрывало «Пентаграмма»Создай своё место Силы для ритуальной работыРазмер: 50*50 смЦена: 850 рублейМатериал: полиэстрДоставка: в любую точку МираЕщё больше товаров…,https://vk.com/market-226854094?w=product-226854094_12534946
vk-p-49,product,Шпилька для волос «Звезда»,Магия Жизни Hair accessories,"1,500 ₽",Шпилька для волос «Звезда» Материал: сплав,https://vk.com/market-226854094?w=product-226854094_12019534
vk-p-50,product,Алтарное покрывало,Магия Жизни Tablecloths,850 ₽,Алтарное покрывало «Пентаграмма»Создай своё место Силы для ритуальной работыРазмер: 50*50 смЦена: 850 рублейМатериал: полиэстрДоставка: в любую точку МираЕщё больше товаров…,https://vk.com/market-226854094?w=product-226854094_12534923
vk-p-51,product,Шпилька для волос «Сияние»,Магия Жизни Hair accessories,"1,500 ₽",Шпилька для волос «Сияние» Материал: сплав,https://vk.com/market-226854094?w=product-226854094_12019780
vk-p-52,product,Алтарное покрывало,Магия Жизни Tablecloths,850 ₽,Алтарное покрывало «Пентаграмма»Создай своё место Силы для ритуальной работыРазмер: 50*50 смЦена: 850 рублейМатериал: полиэстрДоставка: в любую точку МираЕщё больше товаров…,https://vk.com/market-226854094?w=product-226854094_12534906
vk-p-53,product,Шпилька для волос «Луна»,Магия Жизни Hair accessories,"1,500 ₽",Шпилька для волос «Луна» Материал: сплав,https://vk.com/market-226854094?w=product-226854094_12019786
vk-p-54,product,Алтарное покрывало,Магия Жизни Tablecloths,850 ₽,Алтарное покрывало «Пентаграмма»Создай своё место Силы для ритуальной работыРазмер: 50*50 смЦена: 850 рублейМатериал: полиэстрДоставка: в любую точку МираЕщё больше товаров…,https://vk.com/market-226854094?w=product-226854094_12534893
vk-p-55,product,Браслет,Магия Жизни Bracelets,950 ₽,"Кварцевый браслет с фурнитуройМатериал: сахарный кварц, кристаллы, металл.",https://vk.com/market-226854094?w=product-226854094_12019794
vk-p-56,product,Алтарное покрывало,Магия Жизни Tablecloths,850 ₽,Алтарное покрывало «Мать Земля»Создай своё место Силы для ритуальной работыРазмер: 50*50 смЦена: 850 рублейМатериал: полиэстрДоставка: в любую точку МираЕщё больше товаров…,https://vk.com/market-226854094?w=product-226854094_12534883
vk-p-57,product,Браслет,Магия Жизни Bracelets,950 ₽,"Браслет «Сила и власть» Материал: гематит, вулканическая лава, металл",https://vk.com/market-226854094?w=product-226854094_12019835
vk-p-58,product,Алтарное покрывало,Магия Жизни Tablecloths,850 ₽,Алтарное покрывало «Сила Стихий»Создай своё место Силы для ритуальной работы Размер: 50*50 см Цена: 850 рублей Материал: полиэстр Доставка: в любую точку Мира Ещё больше товаров…,https://vk.com/market-226854094?w=product-226854094_12534830
vk-p-59,product,Подставка для Алтаря «Санта Муэрте»,Магия Жизни Action figures and fan merch,390 ₽,Алтарная подставка «Санта Муэрте» Материал: дерево Диаметр: 10 см,https://vk.com/market-226854094?w=product-226854094_12019851
vk-p-60,product,Серьги «Слеза вампира»,Магия Жизни Earrings,"1,900 ₽",Серьги в готическом стиле.,https://vk.com/market-226854094?w=product-226854094_12246321
vk-p-61,product,Подставка для Алтаря «Санта Муэрте»,Магия Жизни Action figures and fan merch,390 ₽,Алтарная подставка «Санта Муэрте» Материал: дерево Диаметр: 10 см,https://vk.com/market-226854094?w=product-226854094_12019880
vk-p-62,product,Серьги «Сила Ведьмы»,Магия Жизни Earrings,"1,900 ₽","Шикарный аксессуар для самых очаровательных Материал: металл, смолаРазмер: 2,2*5,7 см",https://vk.com/market-226854094?w=product-226854094_12224406
vk-p-63,product,Браслет из «Кошачьего глаза»,Магия Жизни Bracelets,850 ₽,Браслет из «Кошачьего глаза»,https://vk.com/market-226854094?w=product-226854094_12050933
vk-p-64,product,Придверный коврик «Благословение и защита дома»,"Магия Жизни Carpets, rugs and runners","3,700 ₽",С таким ковриком зло не сможет войти в ваш дом.,https://vk.com/market-226854094?w=product-226854094_12073982
vk-p-65,product,Подставка для Алтаря «Сила и защита Дракона»,Магия Жизни Souvenirs and gifts,390 ₽,Подставка для Алтаря «Дракон» Можно использовать при взаимодействии с ТотемомМатериал: дерево Диаметр: 10 см,https://vk.com/market-226854094?w=product-226854094_12066326
vk-p-66,product,Браслет из флюорита,Магия Жизни Bracelets,850 ₽,Браслет из серого флюорита,https://vk.com/market-226854094?w=product-226854094_12071510
vk-p-67,product,Подставка для Алтаря «Око Дракона»,Магия Жизни Souvenirs and gifts,390 ₽,Подставка для Алтаря «Око Дракона» Прекрасно подходит для ритуалов защиты.,https://vk.com/market-226854094?w=product-226854094_12066335
vk-p-68,product,Браслет из агата «Вены Дракона»,Магия Жизни Bracelets,950 ₽,Браслет из агата «Вены Дракона»,https://vk.com/market-226854094?w=product-226854094_12071497
vk-p-69,product,Подставка для Алтаря «Око Дракона»,Магия Жизни Souvenirs and gifts,390 ₽,Подставка для Алтаря «Око Дракона» Прекрасно подходит для ритуалов защиты Материал: дерево Диаметр: 10 см,https://vk.com/market-226854094?w=product-226854094_12066345
vk-p-70,product,Браслет «Бычий глаз» с агатом,Магия Жизни Bracelets,950 ₽,Браслет «Бычий глаз» с большим агатом,https://vk.com/market-226854094?w=product-226854094_12071461
vk-p-71,product,Браслет из аметиста,Магия Жизни Bracelets,850 ₽,Аметистовый браслет,https://vk.com/market-226854094?w=product-226854094_12071413
vk-p-72,product,Браслет из гематита,Магия Жизни Bracelets,950 ₽,Браслет из гематита,https://vk.com/market-226854094?w=product-226854094_12066369
vk-p-73,product,Браслет из глазкового агата,Магия Жизни Bracelets,850 ₽,Глазковый агат,https://vk.com/market-226854094?w=product-226854094_12066379
